TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,"EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, EE PROF JOAO MARIA DIAS","VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - IV, ESPECIALISTA DE EDUCACAO TEMPORARIO",,APOIO À EQUIPE GESTORA,"SUPERVISOR DE PÁTIO, APOIO PEDAGÓGICO"
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,"VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - III, PROFESSOR TEMPORARIO",Professor de Educação Especial,,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,"EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, EE PROF JOAO MARIA DIAS","VÍNCULO TEMPORÁRIO, VÍNCULO SERVIDOR","ESPECIALISTA DE EDUCACAO TEMPORARIO, PROF PERM NIVEL - IV",,APOIO À EQUIPE GESTORA,"APOIO PEDAGÓGICO, INSPETOR ESCOLAR"
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Metodologia do Trabalho Científico, Língua Inglesa, Recomposição das Aprendizagens - Português, Orientação Acadêmica, Componente Curricular 01",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,Educação Física,,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO COMISSIONADO,VDE IV - VICE DIRETOR ESTAB ENSINO,,,
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,"EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, EE PROF JOAO MARIA DIAS","VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - III, PROFESSOR TEMPORARIO","Matemática, Recomposição das Aprendizagens - Matemática, Componente Curricular 02, Componente Curricular 03, Estudo Orientado",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,,
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Componente Curricular 02, História, Filosofia, Sociologia, Componente Curricular 04",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE JULIA AUTA DE OLIVEIRA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,,
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE JULIA AUTA DE OLIVEIRA,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,,,
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE JULIA AUTA DE OLIVEIRA,VÍNCULO CONVÊNIO,CONVENIO - PROFESSOR,,EQUIPE GESTORA,COORDENADOR(A) PEDAGÓGICO(A)
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE JULIA AUTA DE OLIVEIRA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Ciências, Iniciação Científica",,SALA DE AULA
03ª DIREC - NOVA CRUZ,SANTO ANTONIO,EE JULIA AUTA DE OLIVEIRA,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Futebol Society, Educação Desportiva e Saúde, Atividade APE, Beach Tennis, Educação Física",,SALA DE AULA
